"Block","Trial","Arrow","Condition","Correct","RT","subj_num","Time","Task"
2,143,2,1,1,0.39072,1,1,"Flanker"
2,144,1,1,1,0.37542,1,1,"Flanker"
3,1,1,1,1,0.98035,1,1,"Flanker"
3,2,1,1,1,0.40631,1,1,"Flanker"
3,3,1,2,1,0.53179,1,1,"Flanker"
3,4,1,0,1,0.33149,1,1,"Flanker"
3,5,1,1,1,0.32457,1,1,"Flanker"
3,6,2,1,1,0.46205,1,1,"Flanker"
3,7,1,0,1,0.41213,1,1,"Flanker"
3,8,1,2,1,0.46494,1,1,"Flanker"
3,9,1,0,1,0.38256,1,1,"Flanker"
3,10,2,0,1,0.45899,1,1,"Flanker"
3,11,1,1,1,0.37601,1,1,"Flanker"
3,12,1,0,1,0.43492,1,1,"Flanker"
3,13,2,1,1,0.41565,1,1,"Flanker"
3,14,2,0,1,0.43831,1,1,"Flanker"
3,15,2,2,1,0.42468,1,1,"Flanker"
3,16,2,0,1,0.39813,1,1,"Flanker"
3,17,1,2,1,0.43354,1,1,"Flanker"
3,18,1,2,1,0.47715,1,1,"Flanker"
3,19,2,2,1,0.41245,1,1,"Flanker"
3,20,1,1,1,0.40751,1,1,"Flanker"
3,21,1,0,1,0.40299,1,1,"Flanker"
3,22,1,1,1,0.43201,1,1,"Flanker"
3,23,1,0,1,0.43629,1,1,"Flanker"
3,24,1,0,1,0.44133,1,1,"Flanker"
3,25,1,1,1,0.42199,1,1,"Flanker"
3,26,1,1,1,0.49907,1,1,"Flanker"
3,27,1,1,1,0.44931,1,1,"Flanker"
3,28,1,1,1,0.39842,1,1,"Flanker"
3,29,1,0,1,0.44276,1,1,"Flanker"
3,30,1,0,1,0.42286,1,1,"Flanker"
3,31,1,2,1,0.60564,1,1,"Flanker"
3,32,2,0,1,0.49221,1,1,"Flanker"
3,33,2,1,1,0.41891,1,1,"Flanker"
3,34,2,0,1,0.41545,1,1,"Flanker"
3,35,1,1,1,0.51583,1,1,"Flanker"
3,36,2,0,1,0.42001,1,1,"Flanker"
3,37,1,1,1,0.37442,1,1,"Flanker"
3,38,1,2,1,0.42961,1,1,"Flanker"
3,39,2,1,1,0.44166,1,1,"Flanker"
3,40,2,1,1,0.47105,1,1,"Flanker"
3,41,2,2,1,0.54595,1,1,"Flanker"
3,42,1,1,1,0.4256,1,1,"Flanker"
3,43,1,1,1,0.46326,1,1,"Flanker"
3,44,1,0,1,0.38847,1,1,"Flanker"
3,45,1,1,1,0.36744,1,1,"Flanker"
3,46,2,1,1,0.42784,1,1,"Flanker"
3,47,1,0,1,0.38406,1,1,"Flanker"
3,48,2,1,1,0.39603,1,1,"Flanker"
3,49,2,0,1,0.46174,1,1,"Flanker"
3,50,2,2,1,0.52377,1,1,"Flanker"
3,51,1,0,1,0.65993,1,1,"Flanker"
3,52,1,1,1,0.48579,1,1,"Flanker"
3,53,2,0,1,0.41218,1,1,"Flanker"
3,54,2,2,1,0.53637,1,1,"Flanker"
3,55,2,0,1,0.39064,1,1,"Flanker"
3,56,2,0,1,0.40247,1,1,"Flanker"
3,57,2,0,1,0.40646,1,1,"Flanker"
3,58,1,2,1,0.49806,1,1,"Flanker"
3,59,1,2,1,0.44229,1,1,"Flanker"
3,60,2,1,1,0.40572,1,1,"Flanker"
3,61,1,1,1,0.44908,1,1,"Flanker"
3,62,2,1,1,0.4074,1,1,"Flanker"
3,63,2,1,1,0.45256,1,1,"Flanker"
3,64,1,2,1,0.52036,1,1,"Flanker"
3,65,1,1,1,0.54629,1,1,"Flanker"
3,66,2,2,1,0.43234,1,1,"Flanker"
3,67,1,0,1,0.46287,1,1,"Flanker"
3,68,2,2,1,0.40253,1,1,"Flanker"
3,69,1,0,1,0.45473,1,1,"Flanker"
3,70,2,2,1,0.33918,1,1,"Flanker"
3,71,2,2,1,0.46913,1,1,"Flanker"
3,72,2,1,1,0.45009,1,1,"Flanker"
3,73,1,2,1,0.43299,1,1,"Flanker"
3,74,1,2,1,0.41266,1,1,"Flanker"
3,75,2,2,1,0.4742,1,1,"Flanker"
3,76,1,2,1,0.43934,1,1,"Flanker"
3,77,1,1,1,0.4119,1,1,"Flanker"
3,78,2,2,1,0.49646,1,1,"Flanker"
3,79,1,2,1,0.45629,1,1,"Flanker"
3,80,2,2,1,0.87537,1,1,"Flanker"
3,81,1,1,1,0.53012,1,1,"Flanker"
3,82,2,0,1,0.43517,1,1,"Flanker"
3,83,1,1,1,0.44649,1,1,"Flanker"
3,84,2,2,1,0.46895,1,1,"Flanker"
3,85,1,0,1,0.402,1,1,"Flanker"
3,86,2,2,1,0.38931,1,1,"Flanker"
3,87,1,0,1,0.39462,1,1,"Flanker"
3,88,2,0,1,0.37331,1,1,"Flanker"
3,89,2,0,0,0.28035,1,1,"Flanker"
3,90,2,1,1,0.52921,1,1,"Flanker"
3,91,1,1,1,0.45763,1,1,"Flanker"
3,92,2,0,1,0.43074,1,1,"Flanker"
3,93,2,0,1,0.51409,1,1,"Flanker"
3,94,2,2,1,0.47462,1,1,"Flanker"
3,95,2,2,1,0.44795,1,1,"Flanker"
3,96,1,2,1,0.49188,1,1,"Flanker"
3,97,2,1,1,0.41381,1,1,"Flanker"
3,98,2,1,1,0.40901,1,1,"Flanker"
3,99,2,2,1,0.39527,1,1,"Flanker"
3,100,2,2,1,0.44024,1,1,"Flanker"
3,101,2,1,1,0.34719,1,1,"Flanker"
3,102,1,2,1,0.62266,1,1,"Flanker"
3,103,2,2,1,0.46473,1,1,"Flanker"
3,104,2,1,1,0.39163,1,1,"Flanker"
3,105,2,2,1,0.62639,1,1,"Flanker"
3,106,2,1,1,0.39557,1,1,"Flanker"
3,107,2,0,1,0.36891,1,1,"Flanker"
3,108,1,0,1,0.46566,1,1,"Flanker"
3,109,1,2,1,0.51972,1,1,"Flanker"
3,110,2,2,1,0.38102,1,1,"Flanker"
3,111,1,2,1,0.52803,1,1,"Flanker"
3,112,1,2,1,0.54441,1,1,"Flanker"
3,113,1,2,1,0.52777,1,1,"Flanker"
3,114,1,2,1,0.45521,1,1,"Flanker"
3,115,1,1,1,0.46895,1,1,"Flanker"
3,116,2,0,1,0.4814,1,1,"Flanker"
3,117,2,0,1,0.53654,1,1,"Flanker"
3,118,2,0,1,0.39915,1,1,"Flanker"
3,119,1,1,1,0.46647,1,1,"Flanker"
3,120,2,1,1,0.44002,1,1,"Flanker"
3,121,2,1,1,0.41422,1,1,"Flanker"
3,122,2,0,1,0.42615,1,1,"Flanker"
3,123,1,0,1,0.47138,1,1,"Flanker"
3,124,1,2,1,0.45132,1,1,"Flanker"
3,125,1,0,1,0.45668,1,1,"Flanker"
3,126,2,0,1,0.43832,1,1,"Flanker"
3,127,2,0,1,0.46872,1,1,"Flanker"
3,128,1,2,1,0.45777,1,1,"Flanker"
3,129,2,2,1,0.43772,1,1,"Flanker"
3,130,2,2,1,0.55463,1,1,"Flanker"
3,131,2,2,1,0.45182,1,1,"Flanker"
3,132,1,2,1,0.47284,1,1,"Flanker"
3,133,1,2,0,0.33368,1,1,"Flanker"
3,134,1,0,1,0.503,1,1,"Flanker"
3,135,2,1,1,0.41331,1,1,"Flanker"
3,136,1,0,0,0.37029,1,1,"Flanker"
3,137,2,1,1,0.43044,1,1,"Flanker"
3,138,2,1,1,0.37153,1,1,"Flanker"
3,139,1,0,1,0.43936,1,1,"Flanker"
3,140,2,0,1,0.403,1,1,"Flanker"
3,141,2,1,1,0.40619,1,1,"Flanker"
3,142,1,0,1,0.44492,1,1,"Flanker"
3,143,1,0,1,0.42739,1,1,"Flanker"
3,144,2,1,1,0.52508,1,1,"Flanker"
4,1,2,0,1,1.6809,1,1,"Flanker"
4,2,2,2,1,0.43533,1,1,"Flanker"
4,3,2,1,1,0.36747,1,1,"Flanker"
4,4,2,1,1,0.34121,1,1,"Flanker"
4,5,2,2,1,0.50322,1,1,"Flanker"
4,6,1,0,1,0.44427,1,1,"Flanker"
4,7,2,1,1,0.41136,1,1,"Flanker"
4,8,2,1,1,0.43076,1,1,"Flanker"
4,9,1,2,1,0.42584,1,1,"Flanker"
4,10,1,2,1,0.45537,1,1,"Flanker"
4,11,1,0,1,0.37213,1,1,"Flanker"
4,12,2,2,1,0.42385,1,1,"Flanker"
4,13,1,0,1,0.4287,1,1,"Flanker"
4,14,1,0,1,0.41637,1,1,"Flanker"
4,15,1,2,1,0.51816,1,1,"Flanker"
4,16,1,1,1,0.38758,1,1,"Flanker"
4,17,1,0,1,0.40087,1,1,"Flanker"
4,18,1,2,1,0.36589,1,1,"Flanker"
4,19,2,2,1,2.7057,1,1,"Flanker"
4,20,1,1,1,0.45025,1,1,"Flanker"
4,21,2,2,1,0.44708,1,1,"Flanker"
4,22,2,0,1,0.40548,1,1,"Flanker"
4,23,2,1,1,0.41697,1,1,"Flanker"
4,24,1,1,1,0.54124,1,1,"Flanker"
4,25,1,1,1,0.39676,1,1,"Flanker"
4,26,1,1,1,0.34551,1,1,"Flanker"
4,27,1,1,1,0.35409,1,1,"Flanker"
4,28,1,1,1,0.295,1,1,"Flanker"
4,29,1,0,1,0.35937,1,1,"Flanker"
4,30,1,1,1,0.34757,1,1,"Flanker"
4,31,1,2,1,0.2708,1,1,"Flanker"
4,32,2,1,1,0.33484,1,1,"Flanker"
4,33,2,1,1,0.34552,1,1,"Flanker"
4,34,2,0,1,0.47596,1,1,"Flanker"
4,35,2,2,1,0.36157,1,1,"Flanker"
4,36,1,2,1,0.46707,1,1,"Flanker"
4,37,2,0,1,0.34622,1,1,"Flanker"
4,38,2,0,1,0.30013,1,1,"Flanker"
4,39,1,1,1,0.40558,1,1,"Flanker"
4,40,2,1,1,0.29893,1,1,"Flanker"
4,41,1,0,1,0.38029,1,1,"Flanker"
4,42,1,1,1,0.45559,1,1,"Flanker"
4,43,1,0,1,0.41244,1,1,"Flanker"
4,44,2,0,1,0.49552,1,1,"Flanker"
4,45,1,2,1,0.34312,1,1,"Flanker"
4,46,2,2,1,0.3283,1,1,"Flanker"
4,47,2,1,1,0.43413,1,1,"Flanker"
4,48,2,0,1,0.47269,1,1,"Flanker"
4,49,2,0,1,0.42969,1,1,"Flanker"
4,50,2,0,1,0.41918,1,1,"Flanker"
4,51,2,2,1,0.54166,1,1,"Flanker"
4,52,1,2,1,0.51801,1,1,"Flanker"
4,53,1,2,1,0.47597,1,1,"Flanker"
4,54,2,0,1,0.38611,1,1,"Flanker"
